,Unnamed: 0,driver,ageDuringRace,points
719,719,MarkWebber,25,0.0
720,720,AlexYoong,25,0.0
721,721,RubensBarrichello,29,0.0
722,722,MichaelSchumacher,33,4.0
723,723,MikaSalo,35,0.0
724,724,AllanMcNish,32,0.0
725,725,JacquesVilleneuve,30,0.0
726,726,OlivierPanis,35,0.0
727,727,Pedrode la Rosa,31,0.0
728,728,EddieIrvine,36,0.0
729,729,Heinz-HaraldFrentzen,34,0.0
730,730,EnriqueBernoldi,23,0.0
731,731,KimiRäikkönen,24,0.0
732,732,DavidCoulthard,33,3.0
733,733,RalfSchumacher,28,0.0
